#   t       A            B            C            D
0.140000 0.2729000798 2.4728318988 0.2305246529 -0.2723636317
0.141000 0.2753729117 2.4732319734 0.2302522893 -0.2722998287
0.142000 0.2778461437 2.4736056096 0.2299799895 -0.2722360397
0.143000 0.2803197493 2.4739537344 0.2297077534 -0.2721722647
0.144000 0.2827937030 2.4742772425 0.2294355812 -0.2721085037
0.145000 0.2852679802 2.4745769976 0.2291634727 -0.2720447567
0.146000 0.2877425572 2.4748538333 0.2288914279 -0.2719810236
0.147000 0.2902174111 2.4751085538 0.2286194469 -0.2719173045
0.148000 0.2926925196 2.4753419358 0.2283475296 -0.2718535994
0.149000 0.2951678616 2.4755547283 0.2280756760 -0.2717899083
0.150000 0.2976434163 2.4757476547 0.2278038861 -0.2717262312
0.151000 0.3001191640 2.4759214127 0.2275321598 -0.2716625680
0.152000 0.3025950854 2.4760766758 0.2272604973 -0.2715989188
0.153000 0.3050711620 2.4762140940 0.2269888983 -0.2715352835
0.154000 0.3075473761 2.4763342946 0.2267173631 -0.2714716622
0.155000 0.3100237104 2.4764378828 0.2264458914 -0.2714080549
0.156000 0.3125001483 2.4765254427 0.2261744833 -0.2713444615
0.157000 0.3149766738 2.4765975379 0.2259031389 -0.2712808820
0.158000 0.3174532713 2.4766547125 0.2256318580 -0.2712173166
0.159000 0.3199299260 2.4766974913 0.2253606407 -0.2711537650
0.160000 0.3224066235 2.4767263808 0.2250894869 -0.2710902274
0.161000 0.3248833499 2.4767418697 0.2248183967 -0.2710267038
0.162000 0.3273600917 2.4767444297 0.2245473700 -0.2709631941
0.163000 0.3298368362 2.4767345159 0.2242764068 -0.2708996983
0.164000 0.3323135707 2.4767125674 0.2240055071 -0.2708362164
0.165000 0.3347902833 2.4766790079 0.2237346709 -0.2707727485
0.166000 0.3372669623 2.4766342463 0.2234638981 -0.2707092945
0.167000 0.3397435965 2.4765786771 0.2231931888 -0.2706458545
0.168000 0.3422201752 2.4765126811 0.2229225430 -0.2705824283
0.169000 0.3446966879 2.4764366255 0.2226519606 -0.2705190161
0.170000 0.3471731245 2.4763508648 0.2223814415 -0.2704556178
0.171000 0.3496494754 2.4762557409 0.2221109859 -0.2703922334
0.172000 0.3521257311 2.4761515838 0.2218405937 -0.2703288629
0.173000 0.3546018827 2.4760387120 0.2215702648 -0.2702655064
0.174000 0.3570779214 2.4759174326 0.2212999993 -0.2702021637
0.175000 0.3595538388 2.4757880420 0.2210297972 -0.2701388349
0.176000 0.3620296269 2.4756508263 0.2207596583 -0.2700755201
0.177000 0.3645052777 2.4755060614 0.2204895828 -0.2700122191
0.178000 0.3669807838 2.4753540136 0.2202195706 -0.2699489321
0.179000 0.3694561378 2.4751949398 0.2199496216 -0.2698856589
