#   t       A            B            C            D
0.116000 0.2149183814 2.4517514124 0.2369347658 -0.2738948113
0.117000 0.2173708478 2.4531827483 0.2366609071 -0.2738306739
0.118000 0.2198247143 2.4545518850 0.2363871124 -0.2737665505
0.119000 0.2222799199 2.4558609743 0.2361133819 -0.2737024411
0.120000 0.2247364054 2.4571120945 0.2358397155 -0.2736383458
0.121000 0.2271941140 2.4583072535 0.2355661132 -0.2735742645
0.122000 0.2296529907 2.4594483907 0.2352925749 -0.2735101973
0.123000 0.2321129823 2.4605373792 0.2350191008 -0.2734461441
0.124000 0.2345740377 2.4615760284 0.2347456906 -0.2733821049
0.125000 0.2370361073 2.4625660856 0.2344723445 -0.2733180798
0.126000 0.2394991435 2.4635092383 0.2341990624 -0.2732540688
0.127000 0.2419631001 2.4644071165 0.2339258443 -0.2731900717
0.128000 0.2444279326 2.4652612940 0.2336526902 -0.2731260887
0.129000 0.2468935982 2.4660732906 0.2333796000 -0.2730621197
0.130000 0.2493600553 2.4668445739 0.2331065739 -0.2729981647
0.131000 0.2518272640 2.4675765611 0.2328336117 -0.2729342238
0.132000 0.2542951857 2.4682706205 0.2325607134 -0.2728702969
0.133000 0.2567637831 2.4689280735 0.2322878790 -0.2728063839
0.134000 0.2592330202 2.4695501956 0.2320151085 -0.2727424850
0.135000 0.2617028623 2.4701382186 0.2317424019 -0.2726786001
0.136000 0.2641732759 2.4706933315 0.2314697592 -0.2726147292
0.137000 0.2666442287 2.4712166824 0.2311971804 -0.2725508724
0.138000 0.2691156894 2.4717093796 0.2309246654 -0.2724870295
0.139000 0.2715876281 2.4721724931 0.2306522143 -0.2724232006
0.140000 0.2740600155 2.4726070560 0.2303798269 -0.2723593857
0.141000 0.2765328236 2.4730140653 0.2301075034 -0.2722955848
0.142000 0.2790060254 2.4733944837 0.2298352437 -0.2722317979
0.143000 0.2814795948 2.4737492403 0.2295630477 -0.2721680250
0.144000 0.2839535065 2.4740792323 0.2292909155 -0.2721042660
0.145000 0.2864277362 2.4743853253 0.2290188471 -0.2720405211
0.146000 0.2889022604 2.4746683552 0.2287468424 -0.2719767901
0.147000 0.2913770565 2.4749291286 0.2284749014 -0.2719130731
0.148000 0.2938521025 2.4751684244 0.2282030241 -0.2718493701
0.149000 0.2963273775 2.4753869939 0.2279312106 -0.2717856811
0.150000 0.2988028610 2.4755855628 0.2276594607 -0.2717220060
0.151000 0.3012785334 2.4757648312 0.2273877745 -0.2716583449
0.152000 0.3037543757 2.4759254748 0.2271161519 -0.2715946978
0.153000 0.3062303697 2.4760681461 0.2268445930 -0.2715310646
0.154000 0.3087064976 2.4761934744 0.2265730976 -0.2714674453
0.155000 0.3111827425 2.4763020674 0.2263016660 -0.2714038401
0.156000 0.3136590878 2.4763945115 0.2260302979 -0.2713402488
0.157000 0.3161355178 2.4764713726 0.2257589933 -0.2712766714
0.158000 0.3186120170 2.4765331970 0.2254877524 -0.2712131080
0.159000 0.3210885709 2.4765805119 0.2252165750 -0.2711495585
0.160000 0.3235651650 2.4766138258 0.2249454612 -0.2710860230
0.161000 0.3260417857 2.4766336299 0.2246744108 -0.2710225014
0.162000 0.3285184196 2.4766403980 0.2244034240 -0.2709589938
0.163000 0.3309950539 2.4766345873 0.2241325007 -0.2708955001
0.164000 0.3334716764 2.4766166391 0.2238616409 -0.2708320203
0.165000 0.3359482751 2.4765869793 0.2235908445 -0.2707685545
0.166000 0.3384248384 2.4765460190 0.2233201116 -0.2707051025
0.167000 0.3409013553 2.4764941547 0.2230494422 -0.2706416645
0.168000 0.3433778150 2.4764317692 0.2227788362 -0.2705782405
0.169000 0.3458542073 2.4763592318 0.2225082936 -0.2705148303
0.170000 0.3483305221 2.4762768990 0.2222378144 -0.2704514341
0.171000 0.3508067499 2.4761851148 0.2219673986 -0.2703880518
0.172000 0.3532828813 2.4760842112 0.2216970461 -0.2703246833
0.173000 0.3557589073 2.4759745083 0.2214267571 -0.2702613288
0.174000 0.3582348194 2.4758563154 0.2211565313 -0.2701979882
0.175000 0.3607106092 2.4757299307 0.2208863689 -0.2701346616
0.176000 0.3631862687 2.4755956421 0.2206162698 -0.2700713488
0.177000 0.3656617900 2.4754537273 0.2203462341 -0.2700080499
0.178000 0.3681371658 2.4753044545 0.2200762616 -0.2699447649
0.179000 0.3706123887 2.4751480822 0.2198063524 -0.2698814938
0.180000 0.3730874518 2.4749848600 0.2195365064 -0.2698182366
0.181000 0.3755623483 2.4748150288 0.2192667237 -0.2697549932
0.182000 0.3780370718 2.4746388211 0.2189970043 -0.2696917638
0.183000 0.3805116161 2.4744564610 0.2187273481 -0.2696285482
0.184000 0.3829859750 2.4742681651 0.2184577550 -0.2695653466
0.185000 0.3854601427 2.4740741421 0.2181882252 -0.2695021588
0.186000 0.3879341136 2.4738745935 0.2179187585 -0.2694389848
0.187000 0.3904078823 2.4736697139 0.2176493550 -0.2693758248
0.188000 0.3928814435 2.4734596908 0.2173800147 -0.2693126786
0.189000 0.3953547923 2.4732447054 0.2171107375 -0.2692495463
0.190000 0.3978279236 2.4730249323 0.2168415234 -0.2691864278
0.191000 0.4003008329 2.4728005402 0.2165723725 -0.2691233232
0.192000 0.4027735155 2.4725716917 0.2163032846 -0.2690602325
0.193000 0.4052459671 2.4723385438 0.2160342598 -0.2689971556
0.194000 0.4077181835 2.4721012480 0.2157652981 -0.2689340926
0.195000 0.4101901606 2.4718599505 0.2154963994 -0.2688710434
0.196000 0.4126618945 2.4716147923 0.2152275638 -0.2688080081
0.197000 0.4151333813 2.4713659096 0.2149587912 -0.2687449866
0.198000 0.4176046174 2.4711134336 0.2146900817 -0.2686819790
0.199000 0.4200755994 2.4708574912 0.2144214351 -0.2686189852
0.200000 0.4225463237 2.4705982045 0.2141528515 -0.2685560052
0.201000 0.4250167871 2.4703356916 0.2138843309 -0.2684930391
0.202000 0.4274869864 2.4700700664 0.2136158732 -0.2684300868
0.203000 0.4299569186 2.4698014387 0.2133474785 -0.2683671483
0.204000 0.4324265807 2.4695299145 0.2130791467 -0.2683042237
0.205000 0.4348959699 2.4692555962 0.2128108778 -0.2682413129
0.206000 0.4373650835 2.4689785825 0.2125426719 -0.2681784159
0.207000 0.4398339187 2.4686989687 0.2122745288 -0.2681155327
0.208000 0.4423024730 2.4684168465 0.2120064486 -0.2680526634
0.209000 0.4447707440 2.4681323049 0.2117384312 -0.2679898078
0.210000 0.4472387293 2.4678454293 0.2114704768 -0.2679269661
0.211000 0.4497064266 2.4675563023 0.2112025851 -0.2678641382
0.212000 0.4521738336 2.4672650036 0.2109347563 -0.2678013241
0.213000 0.4546409484 2.4669716102 0.2106669902 -0.2677385238
0.214000 0.4571077687 2.4666761962 0.2103992870 -0.2676757373
0.215000 0.4595742926 2.4663788332 0.2101316465 -0.2676129646
0.216000 0.4620405182 2.4660795904 0.2098640688 -0.2675502056
0.217000 0.4645064437 2.4657785344 0.2095965539 -0.2674874605
0.218000 0.4669720672 2.4654757295 0.2093291017 -0.2674247292
0.219000 0.4694373871 2.4651712379 0.2090617122 -0.2673620117
0.220000 0.4719024016 2.4648651193 0.2087943854 -0.2672993079
0.221000 0.4743671093 2.4645574317 0.2085271213 -0.2672366179
0.222000 0.4768315085 2.4642482309 0.2082599199 -0.2671739417
0.223000 0.4792955978 2.4639375705 0.2079927812 -0.2671112793
0.224000 0.4817593757 2.4636255027 0.2077257051 -0.2670486307
0.225000 0.4842228409 2.4633120775 0.2074586917 -0.2669859958
0.226000 0.4866859920 2.4629973432 0.2071917409 -0.2669233747
0.227000 0.4891488277 2.4626813466 0.2069248527 -0.2668607674
0.228000 0.4916113468 2.4623641327 0.2066580271 -0.2667981738
0.229000 0.4940735482 2.4620457449 0.2063912641 -0.2667355940
0.230000 0.4965354305 2.4617262251 0.2061245637 -0.2666730279
0.231000 0.4989969928 2.4614056139 0.2058579258 -0.2666104756
0.232000 0.5014582340 2.4610839503 0.2055913504 -0.2665479371
0.233000 0.5039191529 2.4607612720 0.2053248376 -0.2664854123
0.234000 0.5063797488 2.4604376153 0.2050583874 -0.2664229013
0.235000 0.5088400204 2.4601130153 0.2047919996 -0.2663604040
0.236000 0.5112999671 2.4597875059 0.2045256743 -0.2662979204
0.237000 0.5137595877 2.4594611197 0.2042594115 -0.2662354506
0.238000 0.5162188816 2.4591338884 0.2039932111 -0.2661729945
0.239000 0.5186778478 2.4588058422 0.2037270732 -0.2661105522
0.240000 0.5211364856 2.4584770106 0.2034609977 -0.2660481236
0.241000 0.5235947942 2.4581474219 0.2031949847 -0.2659857087
0.242000 0.5260527728 2.4578171035 0.2029290340 -0.2659233076
0.243000 0.5285104208 2.4574860816 0.2026631458 -0.2658609202
0.244000 0.5309677374 2.4571543819 0.2023973199 -0.2657985465
0.245000 0.5334247220 2.4568220288 0.2021315564 -0.2657361865
0.246000 0.5358813738 2.4564890461 0.2018658552 -0.2656738402
0.247000 0.5383376925 2.4561554566 0.2016002164 -0.2656115077
0.248000 0.5407936772 2.4558212824 0.2013346399 -0.2655491888
0.249000 0.5432493275 2.4554865449 0.2010691258 -0.2654868837
0.250000 0.5457046427 2.4551512645 0.2008036739 -0.2654245923
0.251000 0.5481596224 2.4548154612 0.2005382843 -0.2653623146
0.252000 0.5506142661 2.4544791540 0.2002729570 -0.2653000506
0.253000 0.5530685732 2.4541423615 0.2000076919 -0.2652378002
0.254000 0.5555225433 2.4538051014 0.1997424890 -0.2651755636
0.255000 0.5579761759 2.4534673911 0.1994773484 -0.2651133407
0.256000 0.5604294706 2.4531292470 0.1992122701 -0.2650511314
0.257000 0.5628824269 2.4527906853 0.1989472539 -0.2649889359
0.258000 0.5653350445 2.4524517213 0.1986822999 -0.2649267540
0.259000 0.5677873229 2.4521123700 0.1984174081 -0.2648645859
0.260000 0.5702392617 2.4517726459 0.1981525784 -0.2648024314
0.261000 0.5726908607 2.4514325627 0.1978878109 -0.2647402905
0.262000 0.5751421194 2.4510921339 0.1976231055 -0.2646781634
0.263000 0.5775930375 2.4507513725 0.1973584622 -0.2646160499
0.264000 0.5800436147 2.4504102909 0.1970938811 -0.2645539501
0.265000 0.5824938506 2.4500689013 0.1968293620 -0.2644918640
0.266000 0.5849437451 2.4497272151 0.1965649050 -0.2644297915
0.267000 0.5873932976 2.4493852437 0.1963005101 -0.2643677327
0.268000 0.5898425081 2.4490429979 0.1960361772 -0.2643056876
0.269000 0.5922913762 2.4487004881 0.1957719064 -0.2642436561
0.270000 0.5947399017 2.4483577245 0.1955076976 -0.2641816382
0.271000 0.5971880843 2.4480147167 0.1952435508 -0.2641196340
0.272000 0.5996359237 2.4476714741 0.1949794660 -0.2640576435
0.273000 0.6020834198 2.4473280060 0.1947154432 -0.2639956666
0.274000 0.6045305723 2.4469843208 0.1944514823 -0.2639337034
0.275000 0.6069773811 2.4466404272 0.1941875834 -0.2638717538
0.276000 0.6094238458 2.4462963333 0.1939237465 -0.2638098178
0.277000 0.6118699663 2.4459520469 0.1936599714 -0.2637478955
0.278000 0.6143157425 2.4456075757 0.1933962583 -0.2636859868
0.279000 0.6167611741 2.4452629269 0.1931326071 -0.2636240917
0.280000 0.6192062610 2.4449181076 0.1928690178 -0.2635622103
0.281000 0.6216510030 2.4445731247 0.1926054903 -0.2635003425
0.282000 0.6240953999 2.4442279848 0.1923420248 -0.2634384883
0.283000 0.6265394516 2.4438826941 0.1920786210 -0.2633766477
0.284000 0.6289831579 2.4435372588 0.1918152791 -0.2633148207
0.285000 0.6314265188 2.4431916849 0.1915519990 -0.2632530074
0.286000 0.6338695339 2.4428459780 0.1912887807 -0.2631912077
0.287000 0.6363122034 2.4425001437 0.1910256242 -0.2631294216
0.288000 0.6387545269 2.4421541873 0.1907625295 -0.2630676491
0.289000 0.6411965044 2.4418081139 0.1904994966 -0.2630058902
0.290000 0.6436381358 2.4414619285 0.1902365254 -0.2629441449
0.291000 0.6460794209 2.4411156359 0.1899736159 -0.2628824132
0.292000 0.6485203597 2.4407692406 0.1897107682 -0.2628206951
0.293000 0.6509609521 2.4404227471 0.1894479821 -0.2627589906
0.294000 0.6534011979 2.4400761598 0.1891852578 -0.2626972997
0.295000 0.6558410971 2.4397294828 0.1889225952 -0.2626356223
0.296000 0.6582806496 2.4393827201 0.1886599942 -0.2625739586
0.297000 0.6607198552 2.4390358755 0.1883974549 -0.2625123084
0.298000 0.6631587140 2.4386889528 0.1881349772 -0.2624506719
0.299000 0.6655972258 2.4383419556 0.1878725611 -0.2623890489
0.300000 0.6680353906 2.4379948873 0.1876102067 -0.2623274395
0.301000 0.6704732083 2.4376477513 0.1873479139 -0.2622658436
0.302000 0.6729106788 2.4373005509 0.1870856826 -0.2622042613
0.303000 0.6753478021 2.4369532892 0.1868235129 -0.2621426926
0.304000 0.6777845781 2.4366059691 0.1865614048 -0.2620811375
0.305000 0.6802210067 2.4362585937 0.1862993583 -0.2620195959
0.306000 0.6826570880 2.4359111656 0.1860373732 -0.2619580679
0.307000 0.6850928218 2.4355636877 0.1857754497 -0.2618965534
0.308000 0.6875282081 2.4352161625 0.1855135877 -0.2618350525
0.309000 0.6899632468 2.4348685925 0.1852517872 -0.2617735652
0.310000 0.6923979380 2.4345209803 0.1849900482 -0.2617120914
0.311000 0.6948322815 2.4341733281 0.1847283706 -0.2616506311
0.312000 0.6972662774 2.4338256382 0.1844667545 -0.2615891844
0.313000 0.6996999255 2.4334779128 0.1842051999 -0.2615277513
0.314000 0.7021332259 2.4331301540 0.1839437066 -0.2614663317
0.315000 0.7045661785 2.4327823639 0.1836822748 -0.2614049256
0.316000 0.7069987834 2.4324345444 0.1834209043 -0.2613435330
